account_id,account_name,segment,region,billing_country,invoice_month,plan_name,latest_subscription_status,invoice_count,recurring_revenue_usd,one_time_revenue_usd,subtotal_usd,tax_usd,total_revenue_usd,collected_revenue_usd,outstanding_revenue_usd,open_invoice_count,past_due_invoice_count,has_past_due_invoice
A1002,Summit Foods,mid_market,NA,US,2025-03-01,Growth Monthly,active,1,1500.0,0.0,1500.0,0.0,1500.0,1500.0,0.0,0,0,false
A1006,Helio Works,mid_market,EMEA,UK,2025-05-01,Growth Monthly,active,1,1200.0,0.0,1200.0,240.0,1440.0,1440.0,0.0,0,0,false
A1008,Pacific Works,mid_market,EMEA,UK,2025-01-01,Enterprise Monthly,active,1,2470.0,0.0,2470.0,494.0,2964.0,2964.0,0.0,0,0,false
A1008,Pacific Works,mid_market,EMEA,UK,2025-04-01,Enterprise Monthly,active,1,2470.0,0.0,2470.0,494.0,2964.0,2964.0,0.0,0,0,false
A1012,Cedar Ventures,smb,APAC,JP,2025-05-01,Starter Monthly,active,1,500.0,0.0,500.0,50.0,550.0,550.0,0.0,0,0,false
A1020,Pioneer Network,smb,EMEA,FR,2025-03-01,Growth Monthly,active,1,1500.0,0.0,1500.0,300.0,1800.0,1800.0,0.0,0,0,false
A1026,Pioneer Capital,smb,NA,CA,2025-05-01,Starter Monthly,active,1,400.0,0.0,400.0,0.0,400.0,400.0,0.0,0,0,false
A1028,Apex Energy,mid_market,APAC,SG,2025-03-01,Enterprise Monthly,active,1,2600.0,0.0,2600.0,234.0,2834.0,2834.0,0.0,0,0,false
A1033,Lighthouse Global,mid_market,NA,CA,2025-06-01,Growth Monthly,active,1,1500.0,0.0,1500.0,0.0,1500.0,1500.0,0.0,0,0,false
A1037,Lighthouse Network,enterprise,EMEA,UK,2025-02-01,Enterprise Monthly,active,1,1500.0,0.0,1500.0,300.0,1800.0,1800.0,0.0,0,0,false
A1040,Harbor Collective,mid_market,APAC,SG,2025-05-01,Enterprise Monthly,active,1,2600.0,0.0,2600.0,234.0,2834.0,2834.0,0.0,0,0,false
